HVH_107_03_000015_000023	其于人有所损傷于物不可赔
HVH_107_03_000015_000024	罪自首面人损傷物七難赔故
HVH_107_03_000015_000025	不谁首註日得晚所因之仍本
HVH_107_03_000015_000026	教像法謂本犯他军因面人傷人
HVH_107_03_000015_000027	所目謀反通之算首固得免也
HVH_107_03_000015_000028	科之也若失傷者自有正律故
HVH_107_03_000015_000029	自首免其拾牵之死止照所
HVH_107_03_000015_000030	毁乘不可事四禁後敢越微
HVH_107_03_000015_000031	走蔑法極者盤詰奸究之處
HVH_107_03_000015_000032	反顺等物非家所得有者
HVH_107_03_000015_000033	日越偶七度而不可追行而不
HVH_107_03_000015_000034	可改以上各项難首齐仍問並不
HVH_107_03_000015_000035	在自首之律。或或或欺取
HVH_107_03_000016_000001	财省非事主所自與也故有歸者
HVH_107_03_000016_000002	曰于事主處者服首者自言强竊作
HVH_107_03_000016_000003	欺之情服者谢過請罪之底也或枉
HVH_107_03_000016_000004	法或不社法得亦主和同自实也
HVH_107_03_000016_000005	言失既應免罪即同常人故一
HVH_107_03_000016_000006	赏已免木身之罪仍赏復益之功亦
HVH_107_03_000016_000007	开瓷
HVH_107_03_000016_000008	微偿化
HVH_107_03_000016_000009	修
HVH_107_03_000016_000010	一小功総麻親首告得减罪三等無服之
HVH_107_03_000016_000011	親减一等其謀反叛逆未行加親屬者
HVH_107_03_000016_000012	告或捕选到官者正犯俱同自首律免
HVH_107_03_000016_000013	进律例二卷三律下十五
HVH_107_03_000016_000014	记罪自首
HVH_107_03_000016_000015	罪若已行者正犯不免其徐缘坐人亦
HVH_107_03_000016_000016	同自首律免罪
HVH_107_03_000016_000017	一在監斬绞重四及遣軍流徒人犯如有
HVH_107_03_000016_000018	因變逸出自行投歸者除謀反叛逆之
HVH_107_03_000016_000019	犯仍照原擬治罪不准自首外除俱照
HVH_107_03_000016_000020	原犯罪名各减一等落若被拿覆
HVH_107_03_000016_000021	仍照原犯罪名定從其自行越狱及
HVH_107_03_000016_000022	守通同縱者自行技仍照各本
HVH_107_03_000016_000023	律倒問
HVH_107_03_000016_000024	一被掳從賊不忘故土来間來歸者俱
HVH_107_03_000016_000025	免罪
HVH_107_03_000017_000001	一凡遇强盗係律得容隱之親首告到
HVH_107_03_000017_000002	官同自首法照侧擬断其親屬本身被
HVH_107_03_000017_000003	却因而告訴到官者依親属相盗律科
HVH_107_03_000017_000004	罪不在此例
HVH_107_03_000017_000005	一盗自首不實不书及知人欲告而於
HVH_107_03_000017_000006	财主處首歸律該减等换罪者俱免刺
HVH_107_03_000017_000007	一跟随為盗並未傷人之犯自行出首將
HVH_107_03_000017_000008	伊應得之罪悉行竟免
HVH_107_03_000017_000009	一強盗同居之父兄伯叔典弟明知匪
HVH_107_03_000017_000010	或分受臟物者許其握實出首均准免
HVH_107_03_000017_000011	罪本犯亦得照律减免落
HVH_107_03_000017_000012	皇律例
HVH_107_03_000017_000013	卷名侧下
HVH_107_03_000017_000014	夫
