HVH_106_000024_000005	當監也帝承离之道故能夏贤成王平文
HVH_106_000024_000006	之故先能作周泰先古先哲王所以成就業
HVH_106_000024_000007	祖宗合都平是道也我
HVH_106_000024_000008	皇上承列聖之傳撫重光之连嗣服以来振刷百為修
HVH_106_000024_000009	主南欢零巷人卷
HVH_106_000024_000010	孔天烤服
HVH_106_000024_000011	五
HVH_106_000024_000012	大堂成版权
HVH_106_000024_000013	庶政每以黄前念京城之建河之先帝盖
HVH_106_000024_000014	為國本生民計也則因向增修開濟其志過其
HVH_106_000024_000015	事心列聖工譜命官篡修所以求安而前献业帝
HVH_106_000024_000016	系親藩親换美宇所以明世次飛先志也党之
HVH_106_000024_000017	善政守以家法竟大之政體奉以家法成意社
HVH_106_000024_000018	朝之政之則監其杜
HVH_106_000024_000019	之意也儿其良法美意無不遵守向见意法焉
HVH_106_000024_000020	克綏先王之禄永底蒸氏之生謨永烈之休
HVH_106_000025_000001	杨烈之美非有本
HVH_106_000025_000002	0.爱民
HVH_106_000025_000003	改率
HVH_106_000025_000004	謹按虞書曰惟善政在氏周書曰惟天患民惟
HVH_106_000025_000005	天自古帝王為周非端面爱氏其大纲大要我
HVH_106_000025_000006	世祖高皇帝應天顺人創业舞維時租除就
HVH_106_000025_000007	周窮十有八年之間班可紀我
HVH_106_000025_000008	皇上纂承鸿業整平规一政一令之行未睿不以
